pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,tfopwg_disp
23.9726,1389.0,10.95663,6456.0,2.07,3.92,APC
13.8516093,1399.9894384,2.4997996,5650.0,1.13732,4.28867,KP
13.3343,2561.0,1.66226,7301.0,1.64,4.23,FP
,,4.07611,,,,FP
4.3503,,3.6245513,6317.0,1.38,,FP
15.1764,,1.20928,5159.8,1.27,4.23,APC
14.0061,1863.0,3.5187707,6690.0,1.49,4.24,APC
4.1624907,3996.2877922,0.7724825,8271.0,2.5027299,3.95,PC
2.36498,1850.0,1.6268695,5034.0,0.73,4.64,FP
,4502.0,2.32439,8268.5,,3.93,FP
6.24633,660.0,13.5499,6209.0,1.63,4.09,FP
19.9664,2653.0,4.43651,7101.9,2.32,3.91,FP
14.201803,1270.187448,3.372877,6050.0,1.02,4.45061,KP
11.1424,588.0,8.34998,4236.0,0.74,4.52,CP
3.7548333,772.378302,4.0686405,4236.0,0.741921,4.52,CP
4.906408,3263.6721812,0.5860366,5579.0,2.39803,3.67,PC
3.34528,2839.0,1.5502952,7851.0,1.86,4.17,FP
4.86242,2569.0,1.80709,6244.0,2.2,3.84,FP
18.1458,1141.0,18.6922101,6277.0,1.65,4.09,FP
9.08479,1114.0,8.0277331,5962.7,1.15,4.38,CP
5.58857,1393.0,12.5187279,5729.0,0.98,4.47,CP
2.51593,1087.0,6.2586065,5729.0,0.98,4.47,CP
2.71349,631.0,26.3208756,5729.0,0.98,4.47,CP
2.1597669,672.9826313,18.795547,5729.0,0.977727,4.47,CP
34.7561624,1982.7142102,1.3206356,4919.6,6.3070302,,PC
6.23181,4731.0,0.64971,9994.0,2.59,4.02,FP
14.8814743,1747.9490013,3.1644075,6519.0,1.7234,4.22068,PC
12.1086799,1075.3184542,3.0440541,5523.0,0.809868,4.52192,KP
1.2305102,386.6684768,3.9652485,3296.0,0.199988,4.96636,PC
11.467011,,2.98278,6027.0,1.23975,4.29978,PC
3.5059571,441.7489067,16.3469053,4310.0,0.649613,4.57345,PC
2.4241912,376.2093904,12.9802953,3614.0,0.491323,4.81257,PC
15.8824638,1839.6713042,1.3484961,6346.0,1.14759,4.38484,KP
14.9476,,3.2541181,6102.0,1.28,4.28649,APC
14.6986197,1689.4116185,3.7178828,5818.0,2.0840001,4.33787,PC
14.2968,1067.0,9.30992,6907.0,3.09,3.63,FP
5.48364,2148.0,1.15395,6093.0,1.4,4.2,FA
25.7144,4243.0,4.73703,11600.0,2.48,4.13,FP
12.2867389,1209.5741229,2.76676,5346.0,0.984866,4.48823,KP
22.7769,3722.0,2.19296,7009.8,2.95,3.6,FP
15.0024,4175.0,1.725841,7348.0,2.39,3.9,PC
30.666,3958.0,1.1923,6534.0,2.04,3.95,FP
,,11.47606,,,,FP
9.08382,1760.0,0.5971314,7710.0,2.28,3.98,APC
13.7339261,2962.2418039,1.4821386,7066.0,2.6647301,3.78,PC
5.7349089,3430.7622437,0.9209526,6553.0,2.8908899,3.65,FP
2.16591,786.0,9.188506,5876.0,0.98,4.48,CP
2.6136848,756.6987586,13.9028391,5876.0,0.983215,4.48,CP
3.0538057,957.1991659,10.1826983,6153.0,1.14582,4.34814,CP
2.56374,853.0,6.441006,4867.0,0.8,4.438,CP
14.9172256,1320.6518234,3.1743504,5943.0,1.15706,4.42524,KP
4.0506906,736.1368293,20.0731588,6033.0,1.14849,4.37,FP
9.36823,1268.0,2.66903,5803.5,1.56,4.07,FP
2.75375,610.0,6.63371,4138.1,0.63,4.54,FP
45.3525,1976.0,2.94308,4437.0,3.13,,PC
4.7531892,846.173434,341.2811281,6058.6,1.39203,4.2,FP
2.90726,594.0,10.8680523,4664.0,0.76,4.55,PC
14.7645,603.0,11.1149,5042.0,4.94,,PC
13.898174,1617.8267296,4.0782392,6501.0,1.74836,4.08,CP
22.1531,,7.14386,7860.0,1.91,4.15,FP
9.39131,890.0,7.0643978,5429.6,0.96,4.44,CP
2.35888,723.0,8.9534775,5029.5,0.76,4.61,CP
5.55812,940.0,7.5022708,6229.0,1.27,4.31,FP
12.764,1048.0,14.0077738,6557.7,1.57,4.18,PC
11.2371,5800.0,1.692892,9121.5,2.1,4.21,FP
2.32848,2000.0,2.6652139,4043.4,0.56,4.69,FP
8.67407,1715.0,1.2615323,4927.9,0.78,4.57,APC
4.44029,788.0,6.0344667,5586.0,1.05,4.36763,CP
3.00336,707.0,9.6867516,4738.1,0.73,4.59,CP
16.7087,3037.0,2.1031647,6122.0,1.93,3.93,CP
27.538,1303.0,7.6416041,6496.7,2.05,,FP
11.5196,,5.9294073,5095.6,1.06,,FP
2.35215,820.0,5.7484439,4534.0,0.69,4.61,CP
10.3239,3534.0,1.1967018,5997.0,1.73,4.0,FP
17.7197,1248.0,11.2463935,6115.7,2.01,3.89,FP
4.47229,1159.0,2.5941968,6389.0,1.4,4.26,PC
,,8.5112,8156.0,,4.35,FP
,,3.9687994,5286.9,,,PC
2.04482,1117.0,5.5411114,5332.0,0.82,4.56429,PC
1.79811,710.0,10.6917268,5332.0,0.82,4.56429,PC
14.1288,1904.0,3.6950015,7106.7,1.63,4.2,APC
24.3218,1219.0,15.7335693,6800.0,2.21,3.91,FP
28.3312,,45.9403293,6479.3,1.28,,APC
15.4416,,2.2219839,7166.8,1.87,,FP
8.76741,1052.0,2.3106428,5339.9,0.99,4.41,CP
14.2359,,4.05135,4974.4,3.85,,FP
15.6557,1206.0,5.5376617,6689.0,2.06,3.96,PC
16.2166,1937.0,4.5960377,7649.0,2.12,4.04,PC
19.3662,2344.0,3.612771,8324.0,1.71,4.28,KP
10.678,1182.0,3.6714717,5618.0,1.54,4.06,CP
12.215808,,11.535076,5479.3,2.48771,3.77,CP
6.4875,2345.0,0.8352406,6105.0,1.24,4.31,FP
2.2187585,639.9817426,2.4919771,3948.0,0.482388,4.68962,CP
1.710706,448.0162269,,3773.0,0.577983,4.438,FP
2.9641461,662.8890748,25.5195307,5742.22,1.17321,4.29,CP
2.0216034,2222.6003436,1.381238,6711.0,1.7756799,4.06358,PC
3.5905923,2954.822621,2.3922703,6090.0,4.1956,3.29864,PC
11.3678,3715.0,4.4780798,7947.0,1.83,4.2,PC
10.5135877,1338.8392647,3.2887898,5800.0,1.24175,4.28004,KP
12.2235,844.0,13.7431134,5941.5,1.34,,FP
45.2204505,758.5937679,16.9487087,5894.7,1.1179,4.37,FP
42.2321,2775.0,3.3686634,7518.0,2.68,3.82,FP
17.4989,1487.0,11.2071839,6152.0,2.24,3.84,FP
5.29152,810.0,4.8878037,4757.3,0.76,4.56,KP
,2076.0,2.97164,8562.5,,,FP
6.1672487,5717.1532477,0.660179,8598.7,2.62432,4.1,FP
49.1695,1129.0,10.9278415,6259.0,2.92,3.59,FP
15.8043,1482.0,5.5514888,6403.9,1.55,4.16,KP
,3115.3801229,2.3202418,8737.5,,,APC
10.5505922,970.6340996,4.7423709,5377.0,0.877585,4.42476,KP
20.3402421,3446.0210572,1.4810903,9435.0,2.28773,4.11,KP
21.2912,2084.3330866,3.4741012,8894.8,1.62,4.38,KP
,976.5873888,6.5011911,5485.0,,,FA
9.86763,1293.0,6.0360758,6528.3,1.69,4.21,APC
